"filename", "language", "TypeScript", "CSS", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "SQLite", "TypeScript JSX", "YAML", "comment", "blank", "total"
"d:\College\Sem3\Db\GroupProject\rms\components\financials\revenue-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 4, 17, 224
"d:\College\Sem3\Db\GroupProject\rms\components\financials\sales-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 5, 18, 175
"d:\College\Sem3\Db\GroupProject\rms\components\financials\sales-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 4, 17, 207
"d:\College\Sem3\Db\GroupProject\rms\components\inventory\inventory-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 4, 21, 263
"d:\College\Sem3\Db\GroupProject\rms\components\menus\menu-edit-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 16, 133
"d:\College\Sem3\Db\GroupProject\rms\components\menus\menu-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 2, 15, 182
"d:\College\Sem3\Db\GroupProject\rms\components\regions\region-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 3, 19, 199
"d:\College\Sem3\Db\GroupProject\rms\components\regions\region-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 3, 20, 228
"d:\College\Sem3\Db\GroupProject\rms\components\reports\employee-report.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 3, 20, 256
"d:\College\Sem3\Db\GroupProject\rms\components\reports\inventory-report.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 424, 0, 10, 35, 469
"d:\College\Sem3\Db\GroupProject\rms\components\reports\inventory\inventory-charts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 2, 9, 105
"d:\College\Sem3\Db\GroupProject\rms\components\reports\inventory\inventory-insights.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 11, 112
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue-report.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 358, 0, 10, 29, 397
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-charts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 325, 0, 4, 16, 345
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-filters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 3, 87
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-forecast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 12, 143
"d:\College\Sem3\Db\GroupProject\rms\components\reports\revenue\revenue-report.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 10, 31, 322
